physical_score,consensus_score,temporal_score,reputation_score,is_flood
0.9495965296051332,0.8485530875826721,0.774620360265216,0.8025509530983802,True
0.749506192023157,0.7008524256325613,0.5650870747735196,0.5773413781889419,True
0.7970219480214983,0.7333355150306807,0.7056458197568292,0.7207782148775248,True
0.9518634164606556,0.7255175311809244,0.8433677120476636,0.5101880551631004,True
0.9432163491270147,0.3568957610257384,0.7476645696959238,0.6199379093867899,True
0.9202706414818211,0.9306683432977514,0.4343334230060229,0.7941373276926816,True
0.6118217166009714,0.8454963688068822,0.3796167057932776,0.9294076517368386,True
0.7897262728762467,0.8105836810149284,0.5565214066119128,0.6315154776388001,True
0.8532011286935987,0.6966741832193083,0.7610607478208412,0.6486283333651719,True
0.7712230159590484,0.8420664454959021,0.524840387345377,0.6469817847954425,True
0.8580988393664678,0.698002006014466,0.863950285499899,0.8592990457244688,True
0.9281040373689435,0.7448473690205532,0.6392032222238027,0.6258354740143063,True
0.7969087792341422,0.7989211628430842,0.6044975539271411,0.7657004243352334,True
0.8709632063742074,0.8686142607313769,0.5860621723293946,0.8419660565360081,True
0.8360846848101903,0.8837350402288437,0.8542180571658844,0.9232578826102709,True
0.8156426937867024,0.92589779002582,0.6364562601279301,0.7318587058697515,True
0.7639673402984013,0.9739716000943162,0.8513413162492678,0.781490166517364,True
0.7427286518035928,0.7054765136324317,0.6003713767123543,0.9151708699504327,True
0.9331650640487352,0.6941699316352674,0.44088556684812585,0.6773154072904973,True
0.9346699684180555,0.837702710417324,0.777485851221517,0.6802192499048223,True
0.702293507265999,0.5044498515658524,0.6137453146126489,0.8709775034645454,True
0.7578068088257282,0.7193478351871052,0.6335476656081909,0.9240538460756398,True
0.9886401936923069,0.7745144135701226,0.9033948401527574,0.7195313212289426,True
0.9040104922244082,0.8056894182901141,0.6483972361480849,0.9616772983777693,True
0.5763135106044385,0.9634108136868432,0.8379471585495621,0.8158621896834108,True
0.7818420866619727,0.9260302371913676,0.5225943869848394,0.8469662222469481,True
0.927936522281243,0.8218794520491859,0.7619187799873812,0.5339611379057885,True
0.6583752669627088,0.7433156660027007,0.6398633335501404,0.9139271896555248,True
0.9618374127359051,0.7767092133783712,0.48068113723254824,0.7952518180067468,True
0.9782043864324014,0.7753085091398799,0.6524735968079625,0.9358421833624593,True
0.7072840824197878,0.6070592712441075,0.8344942756611106,0.7198021731333706,True
0.7361366755765714,0.6890479699350489,0.8610897808346087,0.6108685371280439,True
0.9191538894174194,0.8536552035235825,0.9191161285456577,0.8850164621319832,True
0.9462535612923234,0.9833319933345606,0.8015265527977287,0.8835369554734884,True
0.6810927336954876,0.5899843883957681,0.6073103074422265,0.4438708017913927,True
0.48166300105089493,0.9207925450804059,0.7604965272026761,0.8182495763523796,True
0.8282634963293362,0.8967361544648438,0.7250335411779668,0.8946159288837846,True
0.8707954085378697,0.7474656673172491,0.9429567792523128,0.765880715243806,True
